bcodmoid,name,shortname,definition,date
BCODMO/526,Box Corer,,"This is one of the simplest and most commonly used sediment corers. The stainless steel sampling box can contain a surface sediment block as large as 50cm X 50cm X 75cm with negligible disturbance. Once the sediment is recovered onboard, the sediment box can be detached from the frame and taken to a laboratory for subsampling and further analysis. The core sample size is controlled by the speed at which the corer is lowered into the ocean bottom. When the bottom is firm, a higher speed is required to obtain a complete sample. A depth pinger or other depth indicator is generally used to determine when the box is completely filled with sediment. Once the core box is filled with sediment, the sample is secured by moving the spade-closing lever arm to lower the cutting edge of the spade into the sediment, until the spade completely covers the bottom of the sediment box. (<a href=""http://www.whoi.edu/page.do?pid=8415&amp;tid=282&amp;cid=11255"">more from WHOI instrument page</a>).",2/4/14
BCODMO/527,Accelerator Mass Spectrometer,,"An AMS measures ""long-lived radionuclides that occur naturally in our environment. AMS uses a particle accelerator in conjunction with ion sources, large magnets, and detectors to separate out interferences and count single atoms in the presence of 1x1015 (a thousand million million) stable atoms, measuring the mass-to-charge ratio of the products of sample molecule disassociation, atom ionization and ion acceleration."" AMS permits ultra low-level measurement of compound concentrations and isotope ratios that traditional alpha-spectrometry cannot provide. (<a href=""http://www.physics.purdue.edu/primelab/introduction/ams.html"">more from Purdue University</a>)",2/4/14
BCODMO/528,Aggregate Camera,,A type of underwater camera system.,2/4/14
BCODMO/529,Intelligent Operative Net Sampling System,,The Intelligent Operative Net Sampling System (IONESS) is a sampling net system similar to a MOCNESS that is towed through the water column and can be controlled to open and close over specified depth intervals.  ,2/4/14
BCODMO/530,Inductively Coupled Plasma Mass Spectrometer,,An ICP Mass Spec is an instrument that passes nebulized samples into an inductively-coupled gas plasma (8-10000 K) where they are atomized and ionized. Ions of specific mass-to-charge ratios are quantified in a quadrupole mass spectrometer.,2/4/14
BCODMO/531,Gravity Corer,,"The gravity corer allows researchers to sample sediment layers at the bottom of lakes or oceans. The coring device is deployed from the ship and gravity carries it to the seafloor. (<a href=""http://www.whoi.edu/instruments/viewInstrument.do?id=1079"">http://www.whoi.edu/instruments/viewInstrument.do?id=1079</a>).",2/4/14
BCODMO/532,Multi Corer,,"The Multi Corer is a benthic coring device used to collect multiple, simultaneous, undisturbed sediment/water samples from the seafloor.  Multiple coring tubes with varying sampling capacity depending on tube dimensions are mounted in a frame designed to sample the deep ocean seafloor. For more information, see Barnett et al. (1984) in Oceanologica Acta, 7, pp. 399-408.",2/4/14
BCODMO/533,GO-FLO Teflon Trace Metal,,"GO-FLO Teflon-lined Trace Metal free sampling bottles are used for collecting water samples for trace metal, nutrient and pigment analysis.  The GO-FLO sampling bottle is designed specifically to avoid sample contamination at the surface, internal spring contamination, loss of sample on deck (internal seals), and exchange of water from different depths. ",2/4/14
BCODMO/534,Pump - surface underway ship intake,,The 'Pump-underway ship intake' system indicates that samples are from the ship's clean water intake pump.  This is essentially a surface water sample from a source of uncontaminated near-surface (commonly 3 to 7 m) seawater that can be pumped continuously to shipboard laboratories on research vessels. There is typically a temperature sensor near the intake (known as the hull temperature) to provide measurements that are as close as possible to the ambient water temperature. The flow from the supply is typically directed through continuously logged sensors such as a thermosalinograph and a fluorometer. Water samples are often collected from the underway supply that may also be referred to as the non-toxic supply. Ideally the data contributor has specified the depth in the ship's hull at which the pump is mounted. ,2/4/14
BCODMO/535,Longline Fishing Gear,,"Longlining employs a central fishing line that can range from one to 50 miles long; this line is strung with smaller lines of baited hooks, dangling at evenly spaced intervals. Longlines can be set near the surface to catch pelagic fish like tuna and swordfish, or laid on the sea floor to catch deepdwelling fish like cod and halibut. (<a href=""http://www.montereybayaquarium.org/cr/cr_seafoodwatch/sfw_gear.aspx"">www.montereybayaquarium.org/cr/cr_seafoodwatch/sfw_gear.aspx</a>)",2/4/14
BCODMO/536,Fishing Rod,,Used to catch fish.,2/4/14
BCODMO/537,Electronic Jig Machine,,"An electronic jig machine is used to mechanically jig a fish hook or lure with a bait casting reel without using the fishing rod to jig the lure. Normally to jig a fish hook or lure one must move the fishing rod either vertically, horizontally, or jerk the fishing line by hand. The jigging action of this bait cast reel (how rapid and how long in distance the jig will travel) will determine the desired intensity and resonance of the rattle used in the lure to attract or snag the fish.   With very simple controls,  the equipment functions automatically since it is programmed to suit the actual fishing area, the fishing method and the type of fish. ",2/4/14
BCODMO/538,Fish Cage,,Used to catch fish.,2/4/14
BCODMO/539,Oyxgen Titrator  -Langdon ,,"A Langdon Oyxgen Titrator is an amperometric oxygen titration system developed to measure dissolved oxygen in seawater. The device uses a conventional polarographic electrode in connection with chronoamperometry to overcome many of the problems limiting the performance of oxygen electrodes.  Reproducibility is typically better than +/- 0.8 micromolar and essentially drift-free for several weeks.  A microcomputer controls all phases of the measuring process: pulse generation, data acquisition, reduction, and storage. Software is used to correct sensor output for temperature dependence and an activity coefficient, a function of temperature and salinity, is computed to correct for salinity. (Langdon, 1984. Deep Sea Research Part A. Oceanographic Research Papers, Volume 31, Issue 11, pp. 1357-1367; Culberson and Huang, 1987. Automated amperometric oxygen titration. Deep Sea Res. 34:875-880). ",2/4/14
BCODMO/540,Lobster Trap,,"A lobster trap (often called a lobster pot) is a baited trap which traps lobsters or crayfish and is used in lobster fishing.  A lobster trap can catch multiple lobsters at once and can be a various sizes.  An opening permits the lobster to enter a tunnel of netting and proceed into a ""chamber"" or ""kitchen"", where there is bait, and then into the ""parlor"" from which it cannot escape. ",2/4/14
BCODMO/541,Vertical Multi-layer Plankton Sampler,,"The Vertical Multiple Plankton Sampler (VMPS), a variation of the multiple plankton sampler (MPS), is a specially designed opening-closing, multi-layer net system used for collecting zooplankton (Terazaki and Tomatsu, 1997).  The mesh size and mouth opening can vary depending on research focus.  The VMPS is towed through depth ranges with nets closed at known intervals to yield estimations of standing stock, vertical distribution and diel vertical migration. </p><p>The VMPS as described by Wiebe and Benfield (2003) is named the Ocean Research Institute Vertical Multiple Plankton Sampler (ORI-VMPS) with specifications: 100 cm x 100 cm rectangular mouth opening multiple net system that can be equipped with 4 to 10 nets, 510 cm long with 0.33 mm nylon mesh. Nets are opened/closed by surface commands down<br />transmitted via conduction cable to an underwater<br />unit (see Plate 31 C (Wiebe and Benfield, 2003)).</p><p><strong>References:</strong> <br /><br />Terazaki, M. and Tomatsu, C. (1997). A vertical multiple opening and closing plankton sampler. Journal of Advanced Marine Science Technological Society, 3, 127-132.<br /><br /><br /><br />Wiebe, Peter H. and Mark C. Benfield, 2003.  From the Hensen net toward four-dimensional biological<br />oceanography. Progress in Oceanography, 56, pp. 118.",2/4/14
BCODMO/542,LI-COR LI-190SA PAR Sensor,,The LI-190SA Quantum Sensor is used to accurately measure (non-aquatic) Photosynthetically Active Radiation (PAR) in the range of 400-700 nm.  Colored glass filters are used to tailor the silicon photodiode response to the desired quantum response.  The LI-190SA is also used as a reference sensor for comparison to underwater PAR measured by the LI-192SA or LI-193 Underwater Quantum Sensors.,2/4/14
BCODMO/543,LI-COR LI-1000 Data Logger,,"""The LI-1000 DataLogger is a 10 channel datalogger that functions both as a data logging device and a multichannel, autoranging meter.  The electronics of the LI-1000 have been optimized for highly accurate measurement of LI-COR radiation sensors which have a current signal"" (from LI-COR Datalogging Instruction Manual, p 1).  LI-COR began manufacturing these instruments in 1985 and discontinued in 1998.  Serial Numbers for this model have the prefix of LDL-XXXX. (<a href=""http://www.licor.com"">www.licor.com</a>)",2/4/14
BCODMO/544,Condensation Particle Counter,,Measures the total condensation nucleus concentration of aerosol particles.,2/4/14
BCODMO/545,Expendable Bathythermograph,,"An XBT is an expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model.  For example, two popular XBT models are the T-5 and T-7 probes from Sippican. More information is available from Lockheed Martin Sippican at URL: <a href=""http://www.sippican.com/"">http://www.sippican.com/</a>.",2/4/14
BCODMO/546,LI-COR LI-6262 Gas Analyzer,,"The LI-6262 CO2/H2O Gas Analyzer measures CO2 flux in the environment.  It was manufactured by LI-COR Biosciences Inc. (licor.com) from 1990 through 2005 and serial Numbers for this model have the prefix of IRG3-XXXX. The LI-6262 is a differential, non-dispersive, infrared (NDIR) gas analyzer. The CO2 and H2O measurements are based on the difference in absorption of infrared (IR) radiation passing through two gas sampling cells. The reference cell is used for a gas of known CO2 or H2O concentration, and the<br />sample cell is used for a gas of unknown concentration. Infrared radiation is transmitted through both cell paths, and the output of the analyzer is proportional to the difference in absorption between the two (LI-6262 CO2/H2O Analyzer Operating and Service Manual, Publication Number 9003-59, March, 1996, pg 18).",2/4/14
BCODMO/547,CTD-FRRfluorometer,,"A CTD-FRRf fluorometer is an instrument package designed to measure hydrographic information (pressure, temperature and conductivity) and chlorophyll fluorescence. (see more at URL: <a href=""http://www.chelsea.co.uk/Instruments%20FASTtracka.htm"">http://www.chelsea.co.uk/Instruments%20FASTtracka.htm</a>)  For example, a Chelsea FASTtracka CTD (conductivity, temperature, and depth) device can be configured with additional sensors to measure fluorescence and photosynthetically active radiation (PAR) in the water column. Fluorescence data collected by the CTD are subsequently calibrated and corrected to give the average concentration of chlorophyll a in the water column.  The Chelsea system can be configured as part of a towed package or in a shipboard pumping system. (see more from Chelsea Instruments, Molesey, Surrey, United Kingdom at URL: <a href=""http://www.chelsea.co.uk/"">http://www.chelsea.co.uk/</a>",2/4/14
BCODMO/548,SOIREE Undulator,,"The SOIREE Undulator was a torpedo-style fish used during the SOIREE cruise for the collection of underway water samples.  A variety of sampling devices are housed within the fish, although little detailed information was provided.  It was designed to undulate through a depth profile as it was being towed behind the research vessel.",2/4/14
BCODMO/549,Trace Metal Pump - Towed,,"The Towed Trace Metal (TM) Pump (the pumping system is housed in a 'towfish' that is towed behind the vessel) is a custom designed pumping system for the collection of trace metal clean surface seawater.  It was developed by Ken Bruland and Geoffrey Smith (University of California, Santa Cruz).",2/4/14
BCODMO/550,Sediment Trap - Particle Interceptor,,"A Particle Interceptor Trap is prototype sediment trap designed in the mid 1990s to segregate 'swimmers' from sinking particulate material sampled from the water column. The prototype trap used 'segregation plates' to deflect and segregate 'swimmers' while a series of funnels collected sinking particles in a chamber (see Dennis A. Hansell and Jan A. Newton. September 1994. Design and Evaluation of a ""Swimmer""-Segregating Particle Interceptor Trap, Limnology and Oceanography, Vol. 39, No. 6, pp. 1487-1495). ",2/4/14
BCODMO/551,Quick Scatterometer ,,"The QuikSCAT is a polar orbiting satellite with an 1800 km wide measurement swath on the earth's surface. Generally, this results in twice per day coverage over a given geographic region. This specialized microwave radar measures near-surface wind speed and direction under all weather and cloud conditions over Earth's oceans. Wind retrievals are done on a 25km x 25km spatial scale.",2/4/14
BCODMO/552,SBE 43 Dissolved Oxygen Sensor,,"The Sea-Bird SBE 43 dissolved oxygen sensor is a redesign of the Clark polarographic membrane type of dissolved oxygen sensors. <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a> ",2/4/14
BCODMO/553,Norpac Net,,"Developed by Motoda (1957), the North Pacific Standard net or Norpac Net, has a 45 cm mouth diameter with a conical net length of 180 cm and is fit with netting (mesh size, 0.095 mm or .33mm - GG54) made of coarse bolting silk.",2/4/14
BCODMO/554,Hand-held plankton net,,A Hand-held plankton net is a net like a butterfly net only with a standard 333 micron mesh often used by SCUBA divers or from a dock.,2/4/14
BCODMO/555,Motoda Net XX13,,"Motoda Net (Motoda, 1971).  XX13 indicates a mesh size of 100 microns.  This is a ""messenger based net system which utilized a framework attached to the towing wire.  The circular net (56 cm diameter) was a cylinder (80 cm length)/cone (110 cm length) and was mounted on a wire with a triangular framework so that up to 10 could be towed simultaneously.""(P.H. Wiebe and M.C. Benfield, 2003. Progress in Oceanography 56: p.25) </p><p>Motoda, S. (1971).  Devices of simple plankton apparatus V. <i>Bulletin of the Faculty of Fisheries Hokkaido University</i>, 22, 101-106.",2/4/14
BCODMO/556,Ice Profiling Sonar,,The ASL Environmental Sciences (e.g. IPS4 or IPS5) ice profiler is an upward looking sonar device deployed on a mooring for measuring ice keel drafts. The distance between the instrument and the bottom of the ice is measured by sonar at an operating frequency of 420 kHz with a beam width of 1.8 degrees and sampling rate of up to 2Hz.  Water depth is measured by a pressure sensor and ice draft is calculated by the difference.,2/4/14
BCODMO/557,Sea-Bird SBE 26 Wave and Tide Recorder,,"The Sea-Bird Electronics SBE 26 SEAGAUGE is a wave level and tide recorder with a pressure sensor, accurate clock, precision thermometer and optional SBE 4M conductivity sensor. Pressure data are integrated to give sea level or are burst recorded at rates up to 4 Hz to characterize waves. The standard pressure sensor is a 20 meter (45 psia) Quartzonix, with a temperature-compensated quartz element. Optionally, the SBE 26 can be configured with a Paroscientific Digiquartz pressure sensor with a temperature-compensated quartz element in 13 ranges, from 1 to 6800 meters (15 to 10,000 psia). <a href=""http://www.seabird.com/"">more information from Sea-Bird Electronics </a>  ",2/4/14
BCODMO/558,Nutrient Autoanalyzer,,"Nutrient Autoanalyzer is a generic term used when specific type, make and model were not specified.  In general, a Nutrient Autoanalyzer is an automated flow-thru system for doing nutrient analysis (nitrate, ammonium, orthophosphate, and silicate) on seawater samples.",2/4/14
BCODMO/559,MultiNet,,"The MultiNet Multiple Plankton Sampler is designed as a  sampling system for horizontal and vertical collections in successive water layers. Equipped with 5 or 9 net bags, the MultiNet can be delivered in 3 sizes (apertures) : Mini (0.125 m2), Midi (0.25 m2) and Maxi (0.5 m2). The system consists of a shipboard Deck Command Unit and a stainless steel frame to which 5 (or 9) net bags are attached by means of zippers to canvas. The net bags are opened and closed by means of an arrangement of levers that are triggered by a battery powered Motor Unit. The commands for actuation of the net bags are given via single or multi-conductor cable between the Underwater Unit and the Deck Command Unit.  Although horizontal collections typically use a mesh size of 300 microns, mesh sizes from 100 to 500 may also be used. Vertical collections are also common.  The shipboard Deck Command Unit displays all relevant system data, including the actual operating depth of the net system.",2/4/14
BCODMO/560,Global Positioning System Receiver,,"The Global Positioning System (GPS) is a U.S. space-based radionavigation system that provides reliable positioning,<br />navigation, and timing services to civilian users on a<br />continuous worldwide basis.  The U.S. Air Force develops, maintains, and operates the space and control segments of the NAVSTAR GPS transmitter system.  Ships use a variety of receivers (e.g. Trimble and Ashtech) to interpret the GPS signal and determine accurate latitude and longitude.",2/4/14
BCODMO/561,MAPCO2 Drifting Buoy,,"The Moored Autonomous pCO2 (MAPCO2) surface drifting buoy designed by NOAA/PMEL is a low profile, high payload buoy. It was used in the SO GasEx project as a drogued drifter instrumented with a variety of autonomous instruments capable of making a coordinated set of physical, geochemical, and biological measurements at high temporal resolutions.  These measurements provide a key component in the study of processes controlling air-sea CO2 exchange.",2/4/14
BCODMO/562,Submersible Autonomous Moored Instrument,,"The Submersible Autonomous Moored Instrument (SAMI) measures and logs levels of dissolved chemicals in sea and fresh water.  It is a plastic cylinder about 6 inches wide and 2 feet long that is self-powered and capable of hourly measurements for up to one year. All data collected are logged to an internal memory chip to be downloaded later. SAMI sensors usually are placed a few feet underwater on permanent moorings, while others on floating drifters sample the water wherever the wind and currents carry them. The instruments have been used by researchers around the globe in a variety of studies since 1999. Dr. Mike DeGrandpre, University of Montana, developed the SAMI between 1990 and 1993 during his postdoctoral work at the Woods Hole Oceanographic Institution (Woods Hole, MA, USA).  For additional information, see URL: <a href=""http://www.sunburstsensors.com/"" target=""_blank"">http://www.sunburstsensors.com/</a> from the manufacturer, Sunburst Sensors, LLC, 1226 West Broadway, Missoula, MT 59802.",2/4/14
BCODMO/563,Aanderaa Oxygen Optodes,,"Aanderaa Oxygen Optodes are instrument for monitoring oxygen in the environment. For instrument information see the <a href=""http://bcodata.whoi.edu/SO-GasEx/Aanderaa_Oxygen_Optodes_3835_4_DED24.pdf"">Aanderaa Oxygen Optodes Product Brochure</a>.",2/4/14
BCODMO/564,Onset Pro v2 temperature logger,,"The HOBO Water Temp Pro v2 temperature logger, manufactured by Onset Computer Corporation, has 12-bit resolution and a precision sensor for 0.2C accuracy over a wide temperature range.  It is designed for extended deployment in fresh or salt water.<br /><br /><br />Operation range: -40 to 70C (-40 to 158F) in air;<br />maximum sustained temperature of 50C (122F) in water<br /><br /><br />Accuracy: 0.2C over 0 to 50C (0.36F over 32 to 122F)<br /><br /><br />Resolution: 0.02C at 25C (0.04F at 77F)<br /><br /><br />Response time: (90%) 5 minutes in water; 12 minutes in air moving 2 m/sec (typical)<br /><br /><br />Stability (drift): 0.1C (0.18F) per year<br /><br /><br />Real-time clock:  1 minute per month 0 to 50C (32 to 122F)  </p><p><b>Additional information</b> (<a href=""http://www.onsetcomp.com/"">http://www.onsetcomp.com/</a>)<br /><br />Onset Computer Corporation<br /><br />470 MacArthur Blvd<br /><br />Bourne, MA 02532",2/4/14
BCODMO/565,Manual Biota Sampler,,"Manual Biota Sampler indicates that a sample was collected  in situ by a person, possibly using a hand-held collection device such as a jar, a net or their hands.",2/4/14
BCODMO/566,LI-COR LI-840 NDIR Gas Analyzer,,"The LI-COR LI-840 is specifically designed for continuous monitoring of CO2 and H2O over a wide range of environmental conditions. The LI-840 is an absolute, non-dispersive, infrared (NDIR) gas analyzer based on a single, interchangeable optical path, and a dual wavelength infrared detection system.",2/4/14
BCODMO/567,Pressure Sensor,,"A pressure sensor is a device used to measure absolute, differential, or gauge pressures.  It is used only when detailed instrument documentation is not available. ",2/4/14
BCODMO/568,A/D Data Logging Card,,"Analog to Digital cards used for logging data from analog sensors (voltages, etc)",2/4/14
BCODMO/569,bucket,,A bucket used to collect surface sea water samples.,2/4/14
BCODMO/570,Atmospheric Pressure Ionization Mass Spectrometer ,,The Atmospheric Pressure Ionization Mass Spectrometer measures dimethylsulfide (DMS) in ambient air and in sea water.  This instrument is used to measure DMS fluxes directly in the marine boundary layer.,2/4/14
BCODMO/571,Thermistor - HardHat,,"A HardHat Thermistor is a precision thermistor supported by a surface-following float, made from a ""hard hat"" filled with foam.  It is used to measure Sea Surface Temperature (SST). ",2/4/14
BCODMO/572,Marine-Atmospheric Emitted Radiance Interferometer,,"The the Marine-Atmospheric Emitted Radiance Interferometer (M-AERI) is a Fourier Transform Infrared (FTIR) sprectoradiometer with calibrations traceable to NIST standards.  The M-AERI measures spectra in the infrared (about 3 to 18 micrometers) range with a resolution of about 0.5 cm-1. It uses two infrared detectors cooled to 78 K by a Stirling cycle cooler to reduce the noise equivalent temperature difference to levels well below 0.1 K.   </p><p>The radiometric calibration of the M-AERI is done continuously using two internal black-body cavities, each with an effective emissivity of  greater than 0.998. The mirror scan sequence includes measurements of the reference cavities before and after each set of spectra from the ocean and atmosphere. The absolute accuracy of the M-AERI  calibration is monitored by episodic use in the laboratory of a NIST-certified water-bath black-body calibration target and residual errors in the M-AERI spectral brightness temperature measurements at temperatures typical of the ocean surface and lower troposphere are typically less than 0.03K.</p><p>The interferometer integrates measurements over a pre-selected time interval, usually a few tens of seconds, to obtain a satisfactory signal to noise ratio, and a typical cycle of measurements including two view angles to the atmosphere, one to the ocean, and calibration measurements, takes about ten minutes.  The absolute accuracy of the spectral measurements (when expressed as a brightness temperature) is 20-30 mK. The measured spectra are processed in real-time to generate measurements of the skin SST and air temperature at the height of the instrument to accuracies much better than 0.1K. </p><p>Reference:<br /><br />Minnett, P. J., R. O. Knuteson, F. A. Best, B. J. Osborne, J. A. Hanafin and O. B. Brown, 2001. The Marine-Atmospheric Emitted Radiance Interferometer (M-AERI), a high-accuracy, sea-going infrared spectroradiometer. Journal of Atmospheric and Oceanic Technology, 18: 994-1013. ",2/4/14
BCODMO/573,NIWA Underway pCO2 system,,"This partial pressure of carbon dioxide (pCO2) analysis system sampled from the vessel R/V Tangaroa's underway system.  The pCO2 was measured by infrared analysis of the carbon dioxide of air continuously equilibrated with pumped seawater.  The pCO2 rig was located on a bench in the temperature controlled laboratory off the fish factory, beside the pH systems (continuous and discrete) and the alkalinity system.<a href=""http://data.bco-dmo.org/Fe_Synthesis/SAGE/SAGE_pCO2_data_report_for_NIWA_database.pdf"">additional details are available in the SAGE pCO2 Data Report</a> ",2/4/14
BCODMO/574,Radiosonde Vaisala RS80-GPS,,"Vaisala RS80-GPS radiosondes carried aloft by helium balloons measure atmospheric temperature, humidity, wind speed and direction.  The GPS receiver of the GPS-radiosonde measures a shift in Doppler frequencies using a codeless detection and measurement technique. The measured Doppler shifts are a combination of satellite and radiosonde motion and contain the pertinent information for wind speed and<br />direction computation. Doppler frequency measurements of up to 8 satellites are sent to the ground equipment using a low bandwidth (1200 baud) digital link. New independent GPS Doppler measurements from the GPS-sonde are provided every 0.5 seconds for up to 8 channels with 24-bit resolution. The ground equipment computes the wind<br />speed and direction using the differential GPS concept.  For more information see <a href=""http://www.hobeco.net/pdf/RS80_GPS.pdf"">www.hobeco.net/pdf/RS80_GPS.pdf</a>.",2/4/14
BCODMO/575,unknown,,The correct value is not known to and not computable by the creator of this information. However a correct value probably exists.,2/4/14
BCODMO/576,Autosal salinometer,,The salinometer is an instrument for measuring the salinity of a water sample.,2/4/14
BCODMO/577,LI-COR LI-7000 Gas Analyzer,,"The LI-7000 CO2/H2O Gas Analyzer is a high performance, dual cell, differential gas analyzer.  It was designed to expand on the capabilities of the LI-6262 CO2/ H2O Gas Analyzer.  A dichroic beam splitter at the end of the optical path provides radiation to two separate detectors, one filtered to detect radiation absorption of CO2 and the other to detect absorption by H2O.  The two separate detectors measure infrared absorption by CO2 and H2O in the same gas stream.  The LI-7000 CO2/ H2O Gas Analyzer is a differential analyzer, in which a known concentration (which can be zero) gas is put in the reference cell, and an unknown gas is put in the sample cell. ",2/4/14
BCODMO/578,Meteorological Station,,"MET station systems are designed to record meteorological information on board ships or mounted on moorings.  These are commonly referred to as EMET (Electronic Meteorological Packages) or IMET (Improved Meteorological Packages) systems.  These sensor packages record measurements of sea surface temperature and salinity, air temperature, wind speed and direction, barometric pressure, solar and long-wave radiation, humidity and precipitation. ",2/4/14
BCODMO/579,Hensen Net,,"The Hensen Net was invented by Christian Andreas Victor Hensen (February 10, 1835 - April 5, 1924) who was a German researcher considered by many to be the 'father' of Biological Oceanography.  Hensen is credited with first using the term 'plankton', and the Hensen Net is one of several sampling devices he invented to help with sample collection. The Hensen Net has a 'reducing cone' forward of the net mouth, a simple closure system and a cod end collection device. </p><p><strong>References:</strong> <br />Hensen, V., 1887. Uber die Bestimmung des Planktons oder des im Meere treibenden Materials an Pflanzen und Thieren. Berichte der Kommssion wissenschaftlichen Untersuchung der deutschen Meere in Kiel 5, pp. 1-107. </p><p>Hensen, V., 1895. Methodik der untersuchungen. Ergebnisse der Plankton-Expedition der Humbolt-Stiftung, Lipsius and Tischer, Kiel.",2/4/14
BCODMO/580,CTD-fluorometer,,"A CTD-fluorometer is an instrument package designed to measure hydrographic information (pressure, temperature and conductivity) and chlorophyll fluorescence.",2/4/14
BCODMO/581,Expendable Bathythermograph - aircraft,,"An aXBT is an Expendable Bathythermograph (XBT) designed to be launched from an aircraft (often a P3 type aircraft) as opposed to a ship.  The aXBT collects data in a similar fashion to an XBT, and once the probe hit the sea surface, it free falls through the water column.",2/4/14
BCODMO/582,Wet Labs ECO Triplet,,"The Wet Labs ECO Triplet is a special-order, three-optical-sensor instrument available from WET Labs (wetlabs.com) in a user-defined configuration. The Triplet addresses the need for multiple simultaneous scattering and fluorescence sensors for autonomous vehicles and unattended measurement platforms.  For example, possible configurations include any combination of three of the following:  Blue scattering, Green scattering, Red scattering, Chlorophyll fluorescence, CDOM fluorescence, Phycoerythrin fluorescence, Phycocyanin fluorescence, Rhodamine fluorescence, or Uranine (fluorescein) fluorescence.",2/4/14
BCODMO/583,MicroTSG Thermosalinograph,,"An externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. Salinity and sound velocity can also be computed.",2/4/14
BCODMO/584,Indian Ocean Standard Net,,The Indian Ocean Standard Net was designed specifically for the International Indian Ocean Exploration project.  The net has a mouth area of one square meter and a total length of 5 meters.  The net is made of nylon gauze with a mesh size of .333 mm (330um).,2/4/14
BCODMO/585,SLOWDROP Optical Profiler,,"The SLOWDROP Optical Profiler is a free-falling instrument package that ""has a Sea-Bird 911+ CTD, two multiwavelength absorption meters (WetLabs ac-9), and a multiexcitation spectrofluorometer (WetLabs SAFIRE) as its basic configuration.  The package is deployed on a loose data tether, with sufficient buoyancy on the package to obtain descent rates of 15-20 cm/s.  These slow descent rates allow data acquisition on centimeter spatial scales and result in multiparameter characterization of small-scale features."" (Cowles, et al.,1998) </p><p><b>References:</b>  Cowles, T.J., et al., 1998. Small-scale Planktonic Structure:  Persistence and Trophic Consequences. Oceanography, Vol. 11(1), pp. 4-9.",2/4/14
BCODMO/586,Clarke-Bumpus Sampler,,"""Clarke and Bumpus designed a small two-messenger zooplankton collection system that could be deployed as multiple units on the wire and had a positive means of opening and closing the mouth of the net. A frame attached at the top and bottom to the towing wire supported a cylindrical tube 12.7 cm in diameter and 16 cm long, to which a net was attached. In the mouth of the tube was a flat plate (like a stove pipe damper plate),which closed off the cylinder when the net was deployed. When the first messenger released a spring-loaded latch, the plate was rotated 90 degrees, opening the net; a second messenger rotated it another 90 degrees to close the net. A flowmeter at the back of the cylinder recorded flow through the net."" (Wiebe and Benfield, 2003)  The instruments were equipped with No. 2 silk nets (22 strands/cm.) and ""oblique"" hauls were made at a speed of about 2 knots for periods of 25 to 40 minutes. </p><p>References:<br />CLARKE, G. L., AND D. F. BUMPUS, 1940. The Plankton Sampler-an instrument for quantitative plankton investigations. Linnological Society of America, Special Pub., (No. 5): 1-8.</p><p>Wiebe, Peter H. and Mark C. Benfield, 2003.  From the Hensen net toward four-dimensional biological oceanography. Progress in Oceanography, 56, pp. 7-136.",2/4/14
BCODMO/587,Stramin net,,"A Stramin net is specifically designed to sample plankton near the bottom and one such, designed by F.S. Russell in 1928, the 'stramin' net (Diameter: 1.5 m., Mesh: 6 strands/cm.) was equipped with rollers at the lower edge of its frame in order that it could be safely lowered until it touched the bottom. One ""oblique"" haul was made from the bottom (or from a depth of 200 m.) to the surface at each station. ""It was mounted in an Agassiz trawl frame so that it was centered inside the trawl net, which was<br />also fixed to the frame and cleared the bottom by approximately 17.8 cm. No provisions were made to prevent contamination of the collection during the lowering of the net to the sea floor or the hauling back to the surface.""(Wiebe and Benfield, 2003) </p><p>References:<br /><br />Wiebe, Peter H. and Mark C. Benfield, 2003. From the Hensen net toward four-dimensional biological oceanography. Progress in Oceanography, 56, pp. 7-136.",2/4/14
BCODMO/588,Winkler Oxygen Titrator,,A Winkler Oxygen Titration system is used for determining concentration of dissolved oxygen in seawater.,2/4/14
BCODMO/589,Slurper Pump,,"The 'Slurper' is a custom designed in situ pumping system that pumps seawater in a way that allows large-volume sampling of pre-determined depth intervals.  The 'Slurper' was used during US JGOFS cruises to acquire samples for 234-Thorium and POC/PON analysis (Buesseler et al., 1988).  The 'Slurper' sampling system comprised a positive displacement pump coupled to a DC motor.  Pump speed and sample volume were controlled via shipboard laptop computer.   </p><p>References: <br /><br />Buesseler, K. O., L. Ball, J. Andrews, C. Benitez-Nelson, R. Belastock, F. Chai and Y.Chao. 1998. Upper Ocean Export of Particulate Organic Carbon in the Arabian Sea derived from Thorium-234. Deep-Sea Res. II, Arabian Sea Volume, Vol. 45, No. 10-11, 2461-2488.",2/4/14
BCODMO/590,Camera -  Sediment Profile Imaging,,"The sediment profile imaging (SPI) system is designed to photograph the sediment-water interface without creating disturbance. A sharp-edged prism cuts cleanly into the sediment to a depth of 15 to 20 cm. The camera is mounted in the top of the prism, and a mirror is used to reflect the sediment image to the camera from the vertical faceplate. Since the sediment is right up against the faceplate, lack of water clarity is never a limitation on this optical method. (from <a href=""http://www.csc.noaa.gov/benthic/mapping/techniques/sensors/spi.htm"">http://www.csc.noaa.gov/benthic/mapping/techniques/sensors/spi.htm</a>)",2/4/14
