"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/TOOL0155";"Interocean S4R current meter";"S4R CM";"Basic elecromagnetic current meter with two pairs of internal electrodes and a flux-gate compass with no integral data logger. Designed for real-time monitoring applications.";"2010-05-18"
"L22/TOOL0156";"Interocean S4A current meter";"S4A CM";"Advanced elecromagnetic current meter with two pairs of internal electrodes and a flux-gate compass with high capacity integral data logger. Includes adaptive current sampling as standard.";"2010-05-18"
"L22/TOOL0157";"Interocean S4DW current meter directional wave monitor";"S4DW CM/wave";"Instrument combines electromagnetic current sensors and a high precision pressure sensor to measure wave orbital current components,directional wave spectra and tides. Incorporates programmable burst mode sampling and a very high capacity data logger.";"2010-05-18"
"L22/TOOL0158";"Teledyne RDI 300kHz Narrowband Vessel-Mounted ADCP";"RDI 300kHz VM-ADCP";"The 300 kHz Teledyne RDI Narrowband Vessel-Mounted Acoustic Doppler Current Profiler is a 4-beam medium range ADCP designed for vessel mounting.";"2010-05-18"
"L22/TOOL0160";"WETLabs C-Star transmissometer";"WetLabs transmissometer";"An underwater optical beam transmissometer capable of free-space measurements or mounting in a flow tube with a pump for underway or moored applications. It is available in 370, 470, 530 and 660 nm wavelengths with a path length of 10 or 25 cm.";"2010-05-18"
"L22/TOOL0166";"Aanderaa RDCP 600 Recording Doppler Current Profiler";"Aanderaa RDCP 600";"The RDCP 600 is a medium range, 600kHz self-recording Doppler Current Profiler. The standard RDCP 600 can be deployed to a depth of 300m, with a velocity range of 0-500 cm/s, vertical velocity accuracy of 1.0 cm/s and horizontal velocity accuracy of 0.5cm/s.";"2010-05-18"
"L22/TOOL0169";"RBR DR-1050 depth recorder";"RBR DR-1050 depth recorder";"The DR-1050 is a pressure recorder with possible ranges of 10, 20, 50, 100, 200, 500, 740, 1000, 2000, 4000, 6000 and 10000 dbar; an accuracy of 0.05% full scale; a resolution of <0.001% full scale; and a time constant of <10 msec.";"2010-05-18"
"L22/TOOL0170";"EnviroTech LLC NAS-2E Nutrient Analyser";"NAS-2E nutrient analyser";"In-situ nutrient analyser for high frequency time-series determination of nutrient concentrations in marine and fresh waters.";"2010-05-18"
"L22/TOOL0171";"Aanderaa doppler current sensor 4100";"AA current sensor 4100";"A 2 MHz vector averaging sensor for measuring current speed and direction. It can be deployed to a depth of 300 m, with a velocity range of 0-300 cm/s and a velocity accuracy of 0.15 cm/s. It has a directional accuracy of 5° for 0-15° tilt and 7.5° for 15-35° tilt. 4100R model also available with adjustable ping rate.";"2010-05-18"
"L22/TOOL0172";"WETLabs ECO FL fluorometer";"WETLabs ECO FL fluorometer";"An open flat-face fluorometer that can be used to measure relative chlorophyll, CDOM, uranine, phycocyanin, or phycoerythrin concentrations by directly measuring the amount of fluorescence emission in a sample volume of water.";"2010-05-18"
"L22/TOOL0173";"Falmouth Scientific Instruments NXIC CTD";"FSI NXIC CTD";"A collection of sensors which are generally linked to a common data logger that samples at up to 15Hz. Parameters are measured to an accuracy of ±0.0002 S/m for conductivity, ±0.005°C for temperature and 0.08% for full scale pressure. Now marketed by Teledyne RD Instruments.";"2010-05-18"
"L22/TOOL0180";"SAIV SD-204 CTD";"SAIV SD-204 CTD";"A CTD that measures, calculates and records sea water conductivity, salinity, temperature, depth (pressure),  sound velocity and water density. Three optional sensors can be added, for example: dissolved oxygen, fluorescence and turbidity. For optional sensors with several sensitivies, the SD204 has an autorange capability. The instrument is equipped with a mooring bar with a shackle at each end. Data are recorded in physical units and simultaneously transmitted via an RS232 I/O watertight connector for on-line use.";"2010-05-18"
"L22/TOOL0181";"Vemco Minilog8 temperature recorder";"Minilog8-TR";"A miniature data logger that records temperature and optionally depth (Minilog8-TRD) at a user programmed time interval. 8-bit version gives a resolution of 0.1C and an accuracy of between +-0.2C to +-0.3C depending on range specified. It is housed in a waterproof cylinder and the temperature sensor is mounted on a protruding stainless steel probe.";"2010-05-18"
"L22/TOOL0182";"Omni Tinytalk TK-0040 temperature recorder";"Tinytalk TK-0040 TR";"A miniature temperature logger with a user programmed time interval. This model has an encapsulated thermistor with a range of -30 to 50C at a resolution of 0.25C and an accuracy of +-0.2C. It is housed in a splashproof metal 35mm film cannister.";"2010-05-18"
"L22/TOOL0183";"Star-Oddi DST CTD";"Star-Oddi DST CTD";"A miniature self-contained CTD primarily designed for mounting on fish, birds or marine mammals. Salinity resolution is 0.02 PSU and accuracy +-0.75 PSU. Temperature resolution is 0.032C and accuracy +-0.1C.";"2010-05-18"
"L22/TOOL0187";"SeaTech S131 fluorometer";"SeaTech S131 fluorometer";"A chlorophyll-a fluorometer with six internally selectable ranges, permitting measurement of chlorophyll-a permitting measurement of chlorophyll-a concentrations from approximately 0.015ug/l to 1000ug/l.";"2010-05-18"
"L22/TOOL0189";"Turner Designs SCUFA II Submersible Fluorometer";"SCUFA II fluorometer";"An accurate, versatile submersible fluorometer for chlorophyll and dye tracking applications. It is capable of operation in a wide range of concentrations and environmental conditions. Output options include chlorophyll-a, cyanobacteria, Rhodamine WT, fluorescin. A turbidity sensor may also be incorporated and logged as a parallel channel. From 1 December 2008, Turner Designs have discontinued all SCUFA Submersible Fluorometer applications. Supported until end 2013";"2010-05-18"
"L22/TOOL0190";"Sea-Bird SBE45 MicroTSG thermosalinograph";"SBE 45 MicroTSG";"A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.";"2013-03-13"
"L22/TOOL0191";"Sea-Bird SBE38 thermometer";"SBE 38 TS";"An oceanographic thermometer with a measurement range of -5 to +35C; absolute accuracy better than 0.001C and resolution of approximately 0.00025C. The sensor is an ultra-stable aged thermistor with a drift rate of less than 0.002C per year. The reference resistor is a hermetically sealed VISHAY. It may be fitted in a 10,500m titanium pressure housing.";"2013-03-13"
"L22/TOOL0193";"LI-COR LI-190 PAR sensor";"LI-190 PAR";"A non-submersible cosine-corrected PAR sensor sensitive wavelengths from 400-700nm with sharp cut-off due to an interference filter. It may be used as a reference sensor for LI-192 and LI-193 Underwater Quantum Sensor.";"2010-05-18"
"L22/TOOL0194";"Skye Instruments SKS1110 pyranometer";"Skye SKS1110 pyranometer";"A silicon cell pyranometer for measurement of sunlight in outdoor locations with sensors are calibrated against precision reference thermopile pyranometers in natural light conditions.";"2010-05-18"
"L22/TOOL0195";"Young MA05106 Wind Monitor anemometer";"Young MA05106 anemometer";"A lightweight anemometer with a helicoid propellor speed sensor attached to a vane. The instrument is designed to withstand the marine environment.";"2010-05-18"
"L22/TOOL0196";"Druck RPT 301 barometer";"Druck RPT 301 barometer";"A barometer based on silicon pressure sensor having a multi-layer construction. The resonator and pressure sensitive diaphragm micro-machined from one piece of silicon. The resonator is bonded to a second silicon wafer containing the drive and pick-up system under vacuum.";"2010-05-18"
"L22/TOOL0197";"Gill Windsonic anemometer";"Gill Windsonic anemometer";"A 2-axis sonic anemometer measuring horizontal wind speed and direction that is suitable for land-based and marine environments. Available in four options, providing a number of different digital and analogue outputs.";"2010-11-18"
"L22/TOOL0198";"Simrad EK-60 echosounder";"Simrad EK-60 echosounder";"A split-beam scientific echosounder primarily designed for fisheries research. It can operate seven frequencies simultaneously ranging from 18 to 710 kHz. Real time echo integration and target strength analysis in an unlimited number of layers is provided as well as storage of raw data for replay or analysis in one of several post-processing software packages such as Simrad's BI60.";"2010-05-18"
"L22/TOOL0199";"Trimble NT300D Global Positioning System receiver";"Trimble NT300D GPS";"A high-performance, sub-meter position GPS receiver for marine applications. It combines a state-of-the-art, 12-channel GPS receiver and a high-performance dual-channel transmitter. It was discontinued in 2009.";"2010-05-18"
"L22/TOOL0200";"Ruthern Instruments marine pH monitor";"Ruthern pH monitor";"A pH monitor that may be included in either a portable or bulkhead-mounted system. It consists of a highly reproducible free-diffusion liquid junction which reduces the usual liquid junction potential error encountered with electrode systems. A capillary liquid junction is formed between the reference reservior (containing the silver/silver chloride electrode) and the pH cell (containing the pH electrode and the sample to be analysed). Capable of extreme accuracy and long term stability, giving a precision of +/- 0.01 pH unit across the salinity range 1 to 40 ppt combined with temperature precision to 0.02 deg C.";"2010-05-18"
"L22/TOOL0206";"Chernikeeff Aquaprobe Mk5 electromagnetic log";"Chernikeeff Aquaprobe Mk5 em-log";"This is a military grade electromagnetic log system directly measuring speed relative to the water. It can be configured to provide single or dual axis speed and distance travelled measurement, using single or twin tranducers..";"2010-05-18"
"L22/TOOL0211";"Aanderaa RCM 4/5 Recording Current Meter";"RCM 4/5";"Family of self-recording current meters with Savonius Rotors recording averaged speed and a magnetic compass recording spot directions. The meter has a balanced weight vane which aligns it with the current flow and is mounted using shackles between segments of mooring line. Optional temperature, pressure and conductivity sensors may be fitted. The RCM5 has a strengthened casing allowing deployment to 6000m. For more details see http://www.bodc.ac.uk/data/documents/nodb/4872/";"2010-11-18"
"L22/TOOL0212";"Aanderaa RCM 4/5 temperature and salinity recorders";"RCM 4/5 TS";"Withdrawn RCM4 or RCM5 current meters fitted with conductivity and temperature sensors given a new lease of life as temperature and salinity recorders.";"2010-05-18"
"L22/TOOL0213";"Idronaut Ocean Seven 320 CTD";"Idronaut Ocean Seven 320 CTD";"A fast response, multi-parameter conductivity, temperature and depth probe. It can be fitted with an additional (redundant) pair of conductivity and temperature sensors allowing the precision and quality of the data to be checked.";"2010-05-18"
"L22/TOOL0214";"Sea-Bird SBE 917plus CTD";"SBE 917+ CTD";"High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 17plus SEARAM data logger. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 17+, which provides battery power, has memory for CTD data recording, and provides autonomous carousel water sampler control.";"2013-03-13"
"L22/TOOL0215";"WETLabs ECO-FLNTU combined fluorometer and turbidity sensor";"WETLabs fluorometer and turbidity sensor";"The ECO-FLNTU combines the ECO fluorometer with an optical scattering measurement at 700nm for simultaneous determination of turbidity. The fluorometer can typically measure phytoplankton concentrations in the range 0.01-50 ug/l, with a sensitivity of 0.01 ug/l. The turbidity sensor can measure within the range 0.01-25 NTU, with a sensitivity of 0.01 NTU. The instrument is stable over a temperature range of 0-20 degC and is rated to a depth of 600 m as standard, with the option of a 'deep' instrument rated to 6000m.";"2010-11-18"
"L22/TOOL0220";"Young 05305 Wind Monitor-AQ anemometer";"Young 05305 anemometer";"An anemometer with a lightweight, carbon fibre thermoplastic (CFT), helicoid propeller wind sensor designed for air quality applications. The wind direction sensor is a lightweight, balanced vane. The instrument body is UV stabilized plastic with stainless steel and anodized aluminum fittings. The instrument mounts on standard 1 inch pipe. Winspeed accuracy is +-0.2m/s and wind direction accuracy is 3 degrees.";"2010-05-18"
"L22/TOOL0221";"Texas Electronics TE525 rain gauge";"TE525 rain gauge";"A tipping bucket rain gauge with a 6 inch collector and levelling screw adjustment. The sensor output has a switch closure for each bucket tip. It has a resolution of 0.01 inches and accuracy of between 1 and 5% depending on rainfall rate (more accurate for lighter rainfall). Marketed by Campbell Scientific.";"2010-05-18"
"L22/TOOL0222";"Setra CS100 barometer";"CS100 barometer";"A barometer based on a capacitive pressure transducer measuring pressure in the 600 to 1100 mB range. Accuracy is +-0.5 mB at 20C and +-1 mB over the range 0-40C. Marketed by Campbell Scientific.";"2010-05-18"
"L22/TOOL0224";"Apogee CS300 pyranometer";"CS300 pyranometer";"A silicon pyranometer with a spectral range of 300-1100nm. Accuracy for total daily radiation is +-5%. Marketed by Campbell Scientific.";"2010-05-18"
"L22/TOOL0226";"Institute of Oceanographic Sciences MkIV bottom pressure recorder";"IOS MkIV BPR";"A deep water (300-5000m) seafloor pressure gauge designed and built by IOS Bidston (now Proudman Oceanographic Laboratory) with an internal casette tape data logger recording Bell and Howell strain gauges and/or Digiquartz pressure sensors.";"2010-05-18"
"L22/TOOL0227";"Institute of Oceanographic Sciences MkIII bottom pressure recorder";"IOS MkIII BPR";"A deep water (300-5000m) seafloor pressure gauge designed and built by IOS Bidston (now Proudman Oceanographic Laboratory) with two pressure transducers and PRT sea temperature sensors coupled to a 12-channel commercial data logger in a spherical pressure housing.";"2010-05-18"
"L22/TOOL0228";"Hugrun Seamon Mini temperature recorder";"Hugrun Seamon Mini TR";"A small underwater temperature sensor and data logger manufactured by Hugrun (subsequently Star-Oddi) and no longer manufactured under that name.";"2010-05-18"
"L22/TOOL0229";"Vaisala GM70 atmospheric carbon dioxide analyser";"Vaisala GM70 CO2 analyser";"An instrument designed for the measurement of atmospheric carbon dioxide incorporating a probe that connects to a pump aspirator. The probe contains a CARBOCAP sensor comprising three major components - a light source, a Fabry-Perot interferometer and an IR detector. The interferometer allows light of two wavelengths to pass through to the detector - the wavelength at which carbon dioxide absorbs light and a nearby non-absorbing wavelength for comparison purposes. The probe is used in conjunction with a MI70 meter which promotes easy transfer of data to a PC.";"2010-11-18"
"L22/TOOL0231";"Gemini Tinytag plus TGP-0050 temperature recorder";"Tinytag TGP-0050 TR";"A data logger plus a 10k NTC thermistor internally mounted within a robust IP68 waterproof casing suitable for measuring atmospheric or shallow water temperatures. Temperatures in the range -30 to 50C can be measured and the logger may be used up to water depths of 15 metres. The instrument can store approximately 16000 data readings and be set up with measurement intervals between one second and ten days.";"2010-05-18"
"L22/TOOL0232";"Valeport CTD 600";"Valeport CTD 600";"A CTD that samples on either time or depth increments based sampling with direct-reading or self-logging modes. Depth rating is 1500m. Available with either a platinum resistance thermometer (accuracy temperature 0.02C, salinity 0.07 PSU) or thermistor (accuracy temperature 0.1C, salinity 0.15 PSU) temperature sensors and inductive coil conductivity sensors. Both types have a resolution of 0.002C for temperature and 0.003 PSU for salinity.";"2010-11-18"
"L22/TOOL0233";"NKE SP2T temperature and depth recorder";"NKE SP2T TDR";"A family of small self-contained temperature and depth recorders with either internal or external (fast response) temperature sensors. A range of casing options give operating depths of between 10m and 4000m (operating depth specified as model number suffix). Temperature accuracy is 0.05C in range 0-20C and 0.1C outside this range. Depth accuracy is 0.3% full scale and resolution is 0.3% full scale. Wireless (inductive or radio) data connections are available.";"2010-05-18"
"L22/TOOL0235";"Water bottle";"Bottle";"A generic term for a device for the collection of a water sample from a pre-determined depth in a water body. The device is positioned at the desired depth where it is closed and sealed by some form of command from the surface.";"2010-05-18"
"L22/TOOL0236";"National Institute of Oceanography plastic reversing water bottle";"NIO bottle";"A 1.35 litre plastic water bottle designed by the National Institute of Oceanography. It is deployed clamped to a cable and triggered by a weight sliding down the cable. When triggered the bottle rotates through 180 degrees which simultaneously closes the valves and fires any reversing thermometers mounted on the bottle.";"2010-11-18"
"L22/TOOL0237";"Waterproof thermometer";"Thermometer";"A generic term for a temperature sensor capable of being immersed in water primarily intended to measure water body temperature but could also be used to determine temperature of other matrices.";"2010-05-18"
"L22/TOOL0238";"Mercury reversing thermometer";"Hg RTM";"A generic term for a mercury-in-glass thermometer that freezes the temperature reading when turned upside-down.";"2010-05-18"
"L22/TOOL0239";"SiS RTM 4002 X digital reversing thermometer";"SiS RTM 4002 X";"A second-generation digital thermometer that collects a burst of temperature readings when inverted. It has a range of -2C to 40C, a resolution of 0.0001C below 10C (0.001C above 10C) and an accuracy of 0.003C. A glass-titanium housing with double o-ring seals of similar physical dimensions to an Hg-in-glass instrument gives an operating depth of 10000m.";"2010-05-18"
"L22/TOOL0240";"Autolab bench salinometer";"Autolab salinometer";"A laboratory instrument that determines salinity of a water sample by comparison of its electrical conductivity with a standard solution.";"2010-05-18"
"L22/TOOL0241";"Plessey Environmenal Systems 6230N bench salinometer";"Plessey 6230N salinometer";"A laboratory instrument that determines salinity of a water sample by comparison of its electrical conductivity with a standard solution.";"2010-05-18"
"L22/TOOL0242";"Guildline Portasal 8410 series salinometer";"Guildline 8410 salinometer";"A portable instrument for laboratory or field use that determines salinity of a water sample by comparison of its electrical conductivity with a standard solution. The system employs a continuous flow system, where the sample is drawn into the unit under low air pressure. A high stability temperature control bath and heat exchanger maintain the sample at a precisely defined, user selected temperature during analysis. The instrument can operate over a conductivity range of 0.004 to 76 mS/cm with a resolution of 0.0003 mS/cm (15 deg C and 35 PSU) or 0.0003 Equivalent PSU, and an accuracy of ± 0.003 Equivalent PSU (same set point temperature as standardization and within -2 deg C and +4 deg C of ambient). The series consists of 2 known models: 8410 and 8410A. The models have the same specifications although the 8410A has an RS232 interface. The reference number 8410N refers to an operational manual update only.";"2013-08-01"
"L22/TOOL0243";"Hilger Spekker colorimeter";"Spekker colorimeter";"A photoelectric absorbsiometer developed in 1936 and manufactered by Adam Hilger Ltd, London. A light source with a photocell on each side provides a basic means of operation. The instrument is set up with a solution to be measured in the sample light beam and then balance the EMF of the photocells to zero on a galvanometer. It can be used to measure nutrient concentrations in seawater.";"2010-11-18"
"L22/TOOL0244";"Alpkem RFA/2 colorimetric autoanalyser";"Alpkem RFA/2 AA";"A rapid flow analyser that may be used to measure nutrient concentrations in seawater. It is a continuous flow instrument consisting of a sampler, peristaltic pump, analytical cartridge, heating bath, colorimeter, data station, and printer.";"2010-11-18"
"L22/TOOL0245";"Skalar SAN+ System colorimetric autoanalyser";"Skalar SAN+ AA";"A continuous flow analyser designed for laboratory use capable of simultaneous determination of up to 16 analystical measurements on a sample. It may be used to measure nutrient concentrations in seawater. The instrument is also known as the Skalar SAN++.";"2012-11-06"
"L22/TOOL0246";"Unicam SP500 spectrophotometer";"SP500 spectrophotometer";"A laboratory instrument that measures the amount of light at discrete pre-determined wavelengths that is transmitted or emitted by a sample.";"2010-05-18"
"L22/TOOL0248";"Nansen-Petterson water bottle";"Nansen bottle";"Metal or plastic insulated bottles with an approximate capacity of 1-2 litres designed for deployment on a cable, sealed by with a spring-loaded valve when triggered by dropping a weight down the cable. It was designed to recover an uncontaminated sample from depth within 0.01C of its in-situ temperature. The design is an improvement by Petterson in collaboration with Nansen on an original design by Nansen. Both designs are commonly known as Nansen bottles.";"2010-11-18"
"L22/TOOL0260";"Young MA05103 Wind Monitor anemometer";"Young MA05103 anemometer";"An anemometer with a four blade helicoid propeller and lightweight direction vane. Vane angle is sensed by a precision potentiometer. The instrument body is UV stabilized plastic with stainless steel and anodized aluminum fittings. The instrument mounts on standard 1 inch pipe. Windspeed accuracy is +-0.3m/s and wind direction accuracy is 3 degrees..";"2010-05-18"
"L22/TOOL0262";"Lockheed Martin Sippican T-5 XBT probe";"Sippican T-5 XBT";"An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-5 XBT Probe can be used within a maximum depth of 1830m, may be deployed at a ship speed of up to 6 knots and has a vertical resolution of 65cm.";"2010-05-18"
"L22/TOOL0263";"Lockheed Martin Sippican T-7 XBT probe";"Sippican T-7 XBT";"An expendable free-fall temperature probe that provides a profile of measured temperature against depth calculated from a fall-rate model. The T-7 XBT Probe can be used within a maximum depth of 760m, may be deployed at a ship speed of up to 15 knots and has a vertical resolution of 65cm.";"2010-05-18"
"L22/TOOL0264";"Fugro Oceanor Wavescan buoy waverider";"Wavescan waverider";"A meteocean waverider buoy incorporating directional wave sensors with sophisticated on-board data reduction, data logging and telemetry capability. The buoy may also carry a meteorological tower and a sub-surface sensor package that are considered to be separate data production tools. More information is given in https://www.bodc.ac.uk/data/documents/nodb/64211/";"2010-05-18"
"L22/TOOL0265";"Fugro Oceanor Wavescan buoy meteorological package";"Wavescan met package";"A meteorological tower with wind, air pressure and air temperature sensors mounted on top of a metocean waverider buoy with on-board data logging and telemetry capability. More information is given in https://www.bodc.ac.uk/data/documents/nodb/64211/";"2010-05-18"
"L22/TOOL0266";"Sea-Bird SBE 39 temperature recorder";"SBE 39 TR";"A high-accuracy temperature recorder (pressure optional) with internal battery and non-volatile memory for deployment at depths up to 10500 meters. It is intended for moorings or other long-term, fixed-site applications, as well as shorter-term deployments on nets, towed vehicles or ROVs. Calibration coefficients stored in EEPROM allow the SBE 39 to transmit data in engineering units. The SBE 39 thermistor has a long history of exceptional accuracy and stability (typical drift is less than 0.002C per year). The SBE 39 communicates directly with a computer via a standard RA-232 interface. For more information see http://www.bodc.ac.uk/data/documents/nodb/108627/";"2010-05-18"
"L22/TOOL0267";"Star-Oddi Starmon mini temperature recorder";"Starmon mini TR";"An underwater temperature recorder in either a plastic (400m) or titanium (11000m) casing.  Temperature average resolution is 0.013C and accuracy is +-0.05C over a range -2C to 40C: clock accuray better than 1 minute per month. Temperature equilibration: 63% 18 seconds (plastic case) or 6 seconds (titanium case); 100% 3 minutes (plastic case) or 1 minute (titanium case).";"2010-05-18"
"L22/TOOL0268";"Datawell directional waverider buoy";"Datawell waverider";"A directional waverider buoy comprising a heave-pitch-roll sensor, two accelerometers and a 3-axis fluxgate compass in a 90cm diameter spherical buoy that measures waves using a translational principle so that horizontal motions rather than wave slopes are measured making the measurement independent of buoy roll motions. A single point rubber cord vertical mooring ensures adequate symmetrical horizontal buoy response to resolve small motions at low frequencies. Data are transmitted to a shore based station and/or an Argos satellite. Three versions of the buoy designated MkI, MkII and MkIII have been produced with evolving internal electronics but fundamentally the same design. More information may be found at http://www.bodc.ac.uk/data/documents/nodb/65329/";"2010-05-18"
"L22/TOOL0269";"anemometer";"anemometer";"A generic term for a mechanical device for measuring wind speed and direction designed for use where no information on instrument make, model or measurement principle are obtainable.";"2010-05-18"
"L22/TOOL0273";"RD200A echosounder";"RD200A echosounder";"A single-beam navigational echo sounder optimised for measurements of water depth below keel in water depths less than 100m.";"2010-05-18"
"L22/TOOL0276";"OceanData TSG103 thermosalinograph";"TSG103 thermosalinograph";"An autoranging instrument taking inputs from a hull or inlet thermometer to give sea temperature plus co-located temperature and conductivity sensors to give salinity. In general use during the 1980s and 1990s";"2010-05-18"
"L22/TOOL0277";"Endeco model 1125 dissolved oxygen system";"Endeco 1125 DO";"A controller with up to four multiplexed Endeco type 1128 pulsed-electrode dissolved oxygen probes. Endeco are now a subsidiary of YSI.";"2010-05-18"
"L22/TOOL0278";"University of Liverpool cathodic stripping voltammetry metal analyser";"Liverpool CSV metals";"A research mode continuous flow metal analyser developed and deployed by Liverpool University Earth and Ocean Sciences department. It is based on cathodic stripping voltammetry with a mercury cathode and the capability for continuous UV light digestion if required.";"2010-05-18"
"L22/TOOL0280";"Cup and vane anemometer";"Cup and vane anemometer";"A generic term for a device that measures windspeed by determining the speed of rotation of 3 cups mounted on horizontal arms with a central pivot and wind direction by determining the orientation of a separate pivot-mounted sail. The term is for use where the measurement principle is known, but details of the make and model number are not known.";"2010-05-18"
"L22/TOOL0281";"Barometer";"Barometer";"A generic term for a device that measures atmospheric pressure. The term is for use where details of the make, model number and measurement principle are not known.";"2010-05-18"
"L22/TOOL0282";"Hygrometer";"Hygrometer";"A generic term for a device that measures atmospheric humidity. The term is for use where details of the make, model number and measurement principle are not known.";"2010-05-18"
"L22/TOOL0283";"Atmospheric thermometer";"Air thermometer";"A generic term for a device that measures atmospheric temperature. The term is for use where details of the make, model number and measurement principle are not known.";"2010-05-18"
"L22/TOOL0286";"Biospherical QCD-905L underwater PAR sensor";"QCD-905L underwater PAR";"Aluminum quantum cosine PAR sensor with log output for depths to 10,000m and 12 bit ADC systems. Single channel analog output voltage is proportional to the log of incident PAR (Photosynthetically Available Radiation: 400-700 nm) irradiance.";"2010-05-18"
"L22/TOOL0288";"Biospherical QCP-2300 underwater PAR sensor";"QCP-2300 underwater PAR";"Log output quantum cosine PAR profiling sensor. For use with 12 bit ADC systems. Single channel analog output voltage is proportional to the log of incident PAR (Photosynthetically Available Radiation: 400-700 nm) irradiance. Cosine corrected for use underwater to depths up to 1000 m.";"2010-05-18"
"L22/TOOL0291";"Technicon AutoAnalyzer II colorimetric autoanalyser";"Technicon AAII AA";"A rapid flow analyser that may be used to measure nutrient concentrations in seawater. It is a continuous segmented flow instrument consisting of a sampler, peristaltic pump, analytical cartridge, heating bath, and colorimeter.";"2010-11-18"
"L22/TOOL0292";"ASL Environmental Sciences IPS4 Ice Profiler Sonar";"ASL IPS4 ice profiler";"The ASL Environmental Sciences ISP4 is an upward looking sonar device for measuring ice keel drafts. Distance between the instrument and ice keel is measured by sonar at an operating frequency of 420 kHz with a beam width of 1.8 degrees and sampling rate of up to 2Hz. Water depth is measured by a pressure sensor and ice draft is calculated by difference. It has a depth range of 175 metres in ice or 225 metres in water and a precision of 0.05 metres.";"2010-11-18"
"L22/TOOL0293";"Teledyne RDI Workhorse Sentinel-1200 ADCP";"RDI Workhorse Sentinel-1200 ADCP";"An ADCP designed for self-contained use on moorings or vessel mounting. It has a patented 1200 kHz broadband signal and a standard depth rating of 200 metres. It operates effectively between temperatures of -5 to 45 C and a range of up to 20m with a depth cell size of 2m.Velocity accuracy is +/- 0.3% or 0.3 cm/sec.";"2013-08-22"
"L22/TOOL0294";"Teledyne RDI Workhorse Sentinel-600 ADCP";"RDI Workhorse Sentinel-600 ADCP";"An ADCP designed for self-contained use on moorings or vessel mounting. It has a patented 600 kHz broadband signal and a standard depth rating of 200 metres. It operates effectively between temperatures of -5 to 45 C and a range of up to 70m with a depth cell size of 4m.Velocity accuracy is +/- 0.3% or 0.3 cm/sec.";"2013-08-22"
"L22/TOOL0295";"Teledyne RDI Workhorse Sentinel-300 ADCP";"RDI Workhorse Sentinel-300 ADCP";"An ADCP designed for self-contained use on moorings or vessel mounting. It has a patented 300 kHz broadband signal and a standard depth rating of 200 metres. It operates effectively between temperatures of -5 to 45 C and a range of up to 165m with a depth cell size of 8m.Velocity accuracy is +/- 0.5% or 0.5 cm/sec.";"2013-08-22"
"L22/TOOL0296";"Thermo Scientific 5012 Multi Angle Absorption Photometer";"Thermo 5012 MAAP";"An in-situ instrument that determines atmospheric aerosol light absorption from coincident measurements of light scattering and transmission of continuous samples collected on a GF10 filter tape. The detection limit is 0.05ug m-3 for data averaged over 10 minutes.";"2010-05-18"
"L22/TOOL0297";"Aerodyne High Resolution Time-of-Flight Aerosol Mass Spectrometer";"Aerodyne HR Tof AMS";"An in-situ instrument that provides quantitative size and chemical mass loading information in real-time for non-refractory sub-micron atmospheric aerosol particles from high-resolution time-of-flight and mass-spectrometer measurements. The HR-ToF-AMS variant has a detection limit for nitrate of 0.003 (V-mode) or 0.05 (W-mode) ug/m3.";"2010-05-18"
"L22/TOOL0298";"GRIMM 1.109 aerosol spectrometer";"GRIMM 1.109 aerosol spec";"A portable in-situ instrument that optically counts atmospheric particles in the size range 0.3um to 20um into 31 size classes.";"2011-07-01"
"L22/TOOL0299";"GRIMM 1.108 aerosol spectrometer";"GRIMM 1.108 aerosol spec";"An instrument that measures size-resolved aerosol abundances in the atmosphere. The ambient air sample is size-classified by a Differential Mobility Analyser, then counted by an Optical Particle Counter. The sample exits the OPC and is deposited on a PTFE filter. The filter may be removed for subsequent, bulk gravimetric or chemical analysis.";"2011-07-01"
"L22/TOOL0300";"Manchester Centre for Atmospheric Science Differential Mobility Particle Sizer";"Manchester CAS DMPS";"An in-situ instrument that gives size-resolved aerosol particle counts in the range 3.4 nm to 830 nm. The instrument comprises an ultrafine and a standard differential mobility analyser, and an ultrafine and a standard optical particle counter. It is a research mode instrument developed by the University of Manchester Centre for Atmospheric Science that is not in commercial production.";"2010-05-18"
"L22/TOOL0302";"Coastal Leasing MacroTide water level recorder";"MacroTide WLR";"A sub-surface water level recorder designed for measurement of tidal signals and water temperature with an ICS Strain Gauge Pressure Sensor logged at 12-bit resolution and a YSI internal (or optionally external) thermistor. Pressure accuracy is 0.1% of measurement range. Temperature accuracy is 0.1C (resolution 0.02C).";"2010-05-18"
